abadede.fpg|wrestler,strong
adam.fpg|adam,hero
adam.wav|adam,hero
adam1.wav|adam,hero,death
alien1.wav|fantasy zone,opa-opa
alien2.wav|fantasy zone,opa-opa
alien3.wav|fantasy zone,opa-opa
alien4.wav|fantasy zone,opa-opa
ambient1.wav|river,water
ambient10.wav|fire,flame,bonfire
ambient11.wav|helicopter,airship
ambient12.wav|alarm,warning,danger
ambient13.wav|jungle,river,calm,grasshopper,cricket
ambient2.wav|jungle
ambient3.wav|arcade
ambient4.wav|dance club,mona
ambient5.wav|train,railway
ambient6.wav|
ambient7.wav|rain,water
ambient8.wav|ocean,water
ambient9.wav|ocean,gull,bird
ash.fpg|ash
ash.wav|ash,laught
ash_char.fpg|ash,playable
axel.fpg|axel,sor2
banderas.fpg|flag,ensligh,spanish
barbon.fpg|barbon,
barra.fpg|lifebar,health,hp
barra_amarilla.fpg|lifebar,health,hp
barra_azul.fpg|lifebar,health,hp
beta_max.fpg|beta,max
bigben.fpg|bigben,bongo,fat,sor2
bikes.fpg|vehicle,bike,boat,mine,spike
bk3_axel.fpg|axel,sor3
bk3_axel1.wav|axel,sor3
bk3_blaze1.wav|blaze,sor3
bk3_blaze2.wav|blaze,sor3
bk3_shiva1.wav|shiva,sor3,final crash
bk3_yamato1.wav|yamato,jutsu
bk3_yamato2.wav|yamato,justu
bk3_yamato3.wav|yamato,justu
blaze.fpg|sor3,blaze
bongo.fpg|bongo,sor3,fat
boomerang.fpg|boomerang,antonio,boss
bronz.fpg|bronz,suit,gun,pistol,revolver,sunglass
bruce.fpg|bruce,clown,kangaroo,whip
cadena.wav|chain
camionero.fpg|trucker,beard,drunk,drink,beer,soda,sorr
cascada.fpg|waterfall
cody.fpg|cody,sorr
coloredit.fpg|color edit
compuerta.wav|floodgate,gate
controles.fpg|control,gamepad,joystick
credits.fpg|credits,bombergames
cutscenes.fpg|cutscene
cutscenesa.fpg|cutscene,characters,portraits,text,letter
dinamicos.fpg|gate,trash,cat,trap,spike,chandelier,lamp,water,splash,bird,car,thunder,laser,drop,soda can,sight,cross,tire,warning,press
donovan.fpg|donovan,upper,uppercut,sor2
donovanx.fpg|donovan,upper,uppercut,sor3
drdahm.fpg|dr dahm,doctor,dr,mechanic,boss,laboratory
electra.fpg|electra,whip,shock,sor2
electra1.wav|whip,electra
electra2.wav|electra,shock,spark
electrax.fpg|electra,whip,shock,dominatrix,sor3
electraxs.fpg|electra,whip,shock,dominatrix,censored,sor3
electra_char.fpg|electra,whip,shock,sor2,playable
electra_sor1.fpg|electra,whip,dominatrix,sor1,police
ending1.fpg|bad end,trone
ending2.fpg|bad end,death
ending3.fpg|sor2 end,good end
ending4.fpg|sor1 end,good end
ending5.fpg|bad end,city
ending6.fpg|neutral end,city,everyone
ending7.fpg|rudra end,urban rudra
ending8.fpg|secret end,opa-opa,fantasy zone,everyone
english.fpg|item,names,english
fade.fpg|fade
falcon.fpg|falcon,joe higashi,muay thai,kick
fat.fpg|bongo,flame,fire,sor1,
fgolpe.fpg|flash,hitflash,blood,spark,bright,explosion,wave,stream,smoke
firework.wav|firework,new year
fuego.fpg|flame,fire,
fuente.fpg|font,letter
f_adam.fpg|adam
f_ash_char.fpg|ash
f_axel.fpg|axel
f_beta_max.fpg|beta max
