abadede.fpg|wrestler,strong
adam.fpg|
adam.wav|
adam1.wav|death
alien1.wav|fantasy zone,opa-opa
alien2.wav|fantasy zone,opa-opa
alien3.wav|fantasy zone,opa-opa
alien4.wav|fantasy zone,opa-opa
ambient1.wav|river,water
ambient10.wav|fire,flame,bonfire
ambient11.wav|helicopter,airship
ambient12.wav|alarm,warning,danger
ambient13.wav|jungle,river,calm,grasshopper,cricket
ambient2.wav|jungle
ambient3.wav|arcade
ambient4.wav|dance,club,mona
ambient5.wav|train,railway
ambient6.wav|
ambient7.wav|rain,water
ambient8.wav|ocean,water
ambient9.wav|ocean,gull,bird
ash.fpg|
ash.wav|laught
ash_char.fpg|
axel.fpg|sor2
banderas.fpg|flag,ensligh,spanish
barbon.fpg|barman
barra.fpg|lifebar,health,hp
barra_amarilla.fpg|lifebar,health,hp
barra_azul.fpg|lifebar,health,hp
beta_max.fpg|
bigben.fpg|bongo,fat,sor2
bikes.fpg|vehicle,bike,boat,mine,spike
bk3_axel.fpg|sor3
bk3_axel1.wav|sor3
bk3_blaze1.wav|sor3
bk3_blaze2.wav|sor3
bk3_shiva1.wav|sor3,final crash
bk3_yamato1.wav|jutsu,samurai,ninja
bk3_yamato2.wav|justu,samurai,ninja
bk3_yamato3.wav|justu,samurai,ninja
blaze.fpg|sor3
bongo.fpg|bigben,sor3,fat
boomerang.fpg|antonio,boss
bronz.fpg|suit,gun,pistol,revolver,sunglass
bruce.fpg|clown,kangaroo,whip
cadena.wav|chain
camionero.fpg|trucker,beard,drunk,drink,beer,soda,sorr
cascada.fpg|waterfall
cody.fpg|sorr
coloredit.fpg|edit
compuerta.wav|floodgate,gate
controles.fpg|gamepad,joystick
credits.fpg|bombergames
cutscenes.fpg|
cutscenesa.fpg|characters,portraits,text,letter
dinamicos.fpg|gate,trash,cat,trap,spike,chandelier,lamp,water,splash,bird,car,thunder,laser,drop,soda can,sight,cross,tire,warning,press
donovan.fpg|upper,uppercut,sor2
donovanx.fpg|upper,uppercut,sor3
drdahm.fpg|dr dahm,doctor,dr,mechanic,boss,laboratory
electra.fpg|whip,shock,sor2,woman
electra1.wav|whip,electra
electra2.wav|shock,spark
electrax.fpg|whip,shock,dominatrix,sor3,woman
electraxs.fpg|whip,shock,dominatrix,censored,sor3,woman
electra_char.fpg|whip,shock,sor2,playable
electra_sor1.fpg|whip,dominatrix,sor1,police,woman
ending1.fpg|bad end,trone
ending2.fpg|bad end,death
ending3.fpg|sor2,good end
ending4.fpg|sor1,good end
ending5.fpg|bad end,city
ending6.fpg|neutral end,city,everyone
ending7.fpg|rudra end,urban rudra
ending8.fpg|secret end,opa-opa,fantasy zone,everyone
english.fpg|item,names,english
fade.fpg|fade
